"year","length.inches"
"1988",16.4
"1988",18.76
"1988",18.08
"1988",16.76
"1988",17.16
"1988",19
"1988",18.32
"1988",18.28
"1988",17.76
"1988",13.8
"1988",16.96
"1988",17.08
"1988",17.64
"1988",14.44
"1988",16.08
"1988",18.44
"1988",17.64
"1988",18.64
"1988",21
"1988",22.04
"1988",21
"1988",18.2
"1988",17.36
"1988",20.12
"1988",16.4
"1988",17
"1988",17.48
"1988",17.04
"1988",13.24
"1988",10.44
"1988",33.76
"1988",26.96
"1988",16.92
"1988",15.04
"1988",23.84
"1988",20.04
"1988",17.48
"1988",18.36
"1988",16.44
"1988",17.92
"1988",20.88
"1988",17.92
"1988",18.48
"1988",17.08
"1988",25.84
"1988",27.2
"1988",23.28
"1988",23.32
"1988",22.2
"1988",21.32
"1988",17.16
"1988",16.04
"1988",16.8
"1988",20.6
"1988",19.8
"1988",19
"1988",17.12
"1988",19.52
"1988",22.04
"1988",17.48
"1988",16.48
"1988",20.24
"1988",13.44
"1988",13.92
"1988",20.4
"1988",18.52
"1988",15.96
"1988",19.2
"1988",12.2
"1988",14.8
"1988",21.12
"1988",14.72
"1988",23.32
"1993",15.08
"1993",23.88
"1993",22.6
"1993",15.44
"1993",17.4
"1993",27.16
"1993",24.96
"1993",29.04
"1993",31.48
"1993",0
"1993",20.52
"1993",17.48
"1993",18.48
"1993",19.16
"1993",18.36
"1993",15.56
"1993",32.44
"1993",15.72
"1993",24.72
"1993",20.72
"1993",19.8
"1993",18.08
"1993",21.92
"1993",22.28
"1993",22.76
"1993",19.08
"1993",19.6
"1993",25.52
"1993",25.6
"1993",22.72
"1993",21.36
"1993",21.44
"1993",20.88
"1993",16.6
"1993",20.28
"1993",34.8
"1993",22.56
"1993",17.4
"1993",20.4
"1993",19.84
"1993",19.28
"1993",20.76
"1993",31.76
"1993",19.68
"1993",22.32
"1993",18.12
"1993",19.04
"1993",20.2
"1993",21.36
"1993",19.84
"1993",19.76
"1993",21.08
"1993",17.96
"1993",19.76
"1993",19.76
"1993",27
"1993",20.2
"1993",20.96
"1993",24.8
"1993",18.8
"1993",19.36
"1993",25.36
"1993",28
"1993",25.92
"1993",20.68
"1993",26.08
"1993",16.52
"1993",18.68
"1993",24.32
"1993",21.88
"1993",20.8
"1993",24.96
"1993",18.48
"1993",26.96
"1993",20.36
"1993",18.68
"1993",20.56
"1993",16.76
"1993",18.28
"1993",14.2
"1993",22.12
