Age	CAT01	CAT03	CAT04A	CAT05B	CAT06	CAT07	CAT08A	CAT09C	CAT10	CAT11	CAT12	CAT13	CAT14B	CAT15	CAT16	CAT17	CAT18	CAT19	CAT20	CAT21	CAT120B	CAT1226	CAT1228	CAT1230	CAT1613	CAT1626	CAT1850	CAT2013	CAT2137	CAT2145	Mean	Median	TSD	Mean	MAI																			
1.0000	0.88200	0.24880	1.0198	0.23980	0.71480	1.0082	1.0298	0.59340	0.62120	0.52720	0.75260	0.86340	0.33960	0.92440	1.6396	0.93700	0.65140	0.40920	0.69840	0.70640	0.34780	0.33180	0.12360	0.40220	0.19360	0.12300	0.44380	0.055400	0.47180	0.69780	0.63697	0.63630	0.40920	0.40920	0.40920																			
2.0000	1.3512	0.51200	1.5082	0.51280	1.5514	1.9866	1.8296	1.1286	1.0428	0.92700	1.1102	2.3184	0.89650	1.2950	2.3770	1.5126	1.0394	0.74640	1.3526	1.1860	0.54320	0.84240	0.69980	0.69640	0.36660	0.27240	0.79200	0.26160	0.82340	1.1900	1.1315	1.0765	0.74640	0.33720	0.37320																			
3.0000	1.7138	0.81300	1.8554	0.73940	1.8546	3.6058	2.4106	1.3718	1.4390	1.2990	1.7784	2.8208	1.4686	1.6664	3.0094	1.7566	1.7926	1.1554	2.0892	1.4610	0.72640	1.0458	0.84640	1.3108	0.78860	0.42300	1.1228	0.49613	1.3012	1.5688	1.5599	1.4500	1.1554	0.40900	0.38513																			
4.0000	2.1666	1.1658	2.2824	1.1878	2.3854	4.2140	2.6386	1.7966	1.9078	1.6246	2.3160	3.4232	1.9591	1.9752	3.3384	2.1880	2.6866	1.3884	3.1010	1.8670	0.98140	1.3424	1.2474	1.7658	1.0940	0.70080	1.4576	0.76323	1.7472	2.2168	2.0097	1.8874	1.3884	0.23300	0.34710																			
5.0000	2.8602	2.3384	2.6242	1.6920	2.7746	5.0694	3.4474	2.1558	2.2842	2.0698	2.8694	4.2160	2.4476	2.1786	4.7084	2.5804	2.9196	1.7672	3.6140	2.4324	1.1658	1.6856	1.5176	2.0570	1.3460	1.0056	1.6820	1.0254	2.0172	2.4112	2.4917	2.3113	1.7672	0.37880	0.35344																			
6.0000	3.2868	3.4948	3.0062	2.4024	3.1174	6.8654	3.9544	2.6606	2.6676	2.6042	3.0980	4.4022	2.9805	2.6516	5.8994	3.1940	3.4174	2.0228	4.0236	2.8202	1.3834	1.8902	1.9656	2.3452	1.6826	1.3308	2.0152	1.2747	2.5222	3.0566	2.9988	2.7439	2.0228	0.25560	0.33713																			
7.0000	3.7096	4.3172	3.3694	2.8338	3.3692	7.8880	4.4550	2.9880	3.2394	3.1162	3.3726	5.0398	3.4857	2.9566	6.7634	3.6204	4.3824	2.3572	4.2888	3.0792	1.5104	2.2622	2.5098	2.3698	2.0876	1.5434	2.5808	1.6079	2.9046	4.0024	3.4813	3.1778	2.4275	0.40470	0.34679																			
8.0000	4.0830	5.0582	3.7232	3.1006	3.8074	8.7214	4.9882	4.1156	3.6750	3.4598	3.8032	5.5982	4.0425	3.4132	7.4204	4.4348	5.3230	2.8130	4.5722	3.7580	1.6672	2.5744	2.9358	2.5380	2.4404	1.8446	2.9012	1.9638	3.2214	4.3982	3.9620	3.7406	2.8182	0.39070	0.35228																			
9.0000	4.3104	5.4154	3.9924	3.7782	4.0420	9.1196	5.4126	4.6272	3.9708	4.7292	4.4624	5.7922	4.6160	3.6990	8.2930	4.5928	5.8752	3.7782	4.9156	4.2728	1.9314	3.1360	3.2032	2.9096	2.7492	2.2596	3.2330	2.3304	3.3792	4.6076	4.3841	4.1574	3.4595	0.64130	0.38439																			
10.000	5.1424	5.7948	4.4356	4.2150	4.1936	11.236	5.9006	5.4128	4.3840	5.5362	4.7206	6.4254	5.1565	3.9860	8.9816	5.2264	6.1614	4.3664	5.1926	4.5362	2.3812	3.3028	3.4568	3.4118	2.8432	2.4684	3.6630	2.7214	3.6884	5.5044	4.8848	4.4859	3.9102	0.45067	0.39102																			
11.000	5.7214	6.3928	4.8134	4.5076	4.7742	12.613	6.5478	6.2820	4.5748	6.0370	5.1972	6.9212	5.7127	4.4396	9.7228	5.7602	6.8068	4.9378	5.4294	4.7226	2.6560	3.9188	3.6446	3.7154	3.0198	2.7600	3.9156	3.1064	4.1260	6.3962	5.3729	4.8756	4.2938	0.38360	0.39034																			
12.000	6.0076	7.0268	5.2468	4.7238	5.0052	13.204	7.0816	6.5684	4.7480	6.4142	5.7356	7.7128	6.2762	5.0858	11.325	6.0010	8.1420	5.3946	5.7200	5.4612	2.8334	4.4164	3.9692	4.1868	3.7242	2.8086	4.1700	3.5113	4.4918	7.2730	5.8774	5.4279	4.6644	0.37067	0.38870																			
13.000	6.2316	7.3924	5.7662	5.0172	5.1736	14.089	7.7152	6.7656	5.1904	6.7364	6.7738	8.3492	6.8582	5.6906	12.231	6.3184	8.5284	6.2780	6.1366	5.9360	3.1100	4.5608	5.0622	4.4572	4.3618	3.1342	4.4284	3.9166	4.6786	7.9226	6.3548	6.0363	5.1234	0.45895	0.39411																			
14.000	6.6228	7.6650	5.9898	5.2402	5.9518	14.656	9.3468	7.2104	5.6022	7.2584	7.7044	8.8112	7.4424	6.5972	12.887	6.7838	8.9284	6.8468	6.5626	6.4170	3.3526	4.8546	5.2256	5.0864	4.8748	3.8604	4.5176	4.3099	4.8718	8.7696	6.8527	6.5799	5.4961	0.37268	0.39258																			
15.000	6.9596	7.7280	6.4084	5.7318	6.2958	15.449	10.505	7.7114	5.8442	8.1940	8.6044	9.6290	8.0093	7.3236	14.663	7.4596	9.1578	7.7346	6.9090	6.6912	3.5068	5.0804	5.8982	5.4110	5.7046	4.0518	4.7658	4.6922	5.0414	9.1290	7.4003	6.9343	5.9197	0.42364	0.39465																			
16.000	7.2706	8.1230	6.9566	6.2776	6.9912	16.048	11.853	7.9820	6.0310	8.9344	9.6772	9.9488	8.5893	7.7264	14.977	8.0002	9.8632	8.5242	7.2460	7.4800	4.0348	5.8436	6.1472	5.8658	6.2038	4.7414	5.3992	5.0839	5.3192	9.3142	7.9236	7.3753	6.4821	0.56240	0.40513																			
17.000	7.5112	8.4290	7.3526	6.6226	7.3602	16.872	12.518	8.4430	6.2244	9.4440	10.746	10.159	9.1477	8.1412	15.422	8.8498	10.153	9.1470	7.6100	8.2874	4.4246	6.9026	6.6734	6.1748	6.7242	5.2356	5.6064	5.4629	5.4962	10.012	8.4024	7.8756	6.8548	0.37272	0.40322																			
18.000	7.6368	8.7584	7.6960	7.2194	7.7160	17.643	13.095	9.0624	6.6020	9.8920	11.131	10.656	9.6868	8.6090	16.178	9.4858	10.436	9.3308	7.7720	8.7056	4.6538	8.2240	6.8930	6.7502	7.1912	5.5982	5.7240	5.8340	5.6288	10.497	8.8298	8.4165	7.1067	0.25184	0.39481																			
19.000	7.8558	8.9354	8.1036	7.8640	7.9034	17.940	13.426	9.5824	6.8372	10.074	13.049	11.139	10.211	9.1224	16.598	10.409	10.713	9.5352	8.2310	9.2774	4.8770	9.1872	6.9268	6.8962	7.5618	5.9736	5.9844	6.2044	5.7780	11.529	9.2671	9.0289	7.4985	0.39180	0.39466																			
20.000	8.3466	9.2962	8.4682	8.4244	8.0818	18.208	13.931	10.330	7.2006	10.721	14.425	11.291	10.720	9.7652	17.120	11.522	10.950	10.204	8.6364	9.8076	5.0730	10.097	8.0294	7.5194	8.0716	6.6954	6.1672	6.5787	5.9250	12.456	9.8056	9.5307	7.8518	0.35337	0.39259																			
21.000	8.8400	9.5676	9.2296	8.9696	8.4974	18.688	14.919	10.920	7.5260	10.946	14.929	11.434	11.210	10.875	17.346	12.163	11.256	10.732	9.3312	10.166	5.4162	10.265	8.1866	8.1162	8.5242	7.7810	6.3714	6.9527	6.1254	13.136	10.280	9.8669	8.3272	0.47533	0.39653																			
22.000	9.3950	10.258	9.8248	9.2158	8.6816	19.486	15.825	11.450	7.9296	11.253	15.266	11.543	11.697	11.677	17.803	12.809	11.493	11.458	10.073	10.537	5.7726	10.649	9.0466	8.5050	9.4768	9.0746	6.6122	7.3298	6.5234	13.690	10.811	10.398	8.8594	0.53223	0.40270																			
23.000	9.7476	10.655	10.998	9.6204	9.0102	20.087	16.511	11.785	8.2550	11.525	16.554	11.640	12.180	13.051	18.953	14.035	12.367	11.580	10.358	10.992	6.4476	11.124	9.9568	9.0298	10.310	10.278	6.8202	7.7038	6.8386	14.583	11.445	10.995	9.1548	0.29546	0.39804																			
24.000	10.051	11.180	11.354	9.8550	9.6770	20.630	17.188	12.095	8.8102	11.969	17.186	11.852	12.668	13.507	19.767	14.759	12.893	11.704	10.769	11.356	6.7244	11.631	10.781	9.4164	10.987	11.091	7.0118	8.0760	7.5092	15.212	11.923	11.355	9.5154	0.36054	0.39647																			
